"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 27 15:23:38 GMT 2023","Mon Nov 27 15:23:41 GMT 2023","2635","","Viewing List Customer Tests","","bankproject.feature.manager.ViewingListCustomerTest","managerDeleteTheCustomer","Manager delete the customer",""
"passed","Mon Nov 27 15:23:24 GMT 2023","Mon Nov 27 15:23:34 GMT 2023","10509","","Adding Customer Tests","","bankproject.feature.manager.AddingCustomerTest","managerIsUnableToAddCustomerWithTheEmptyLastName","Manager is unable to add customer with the empty last name",""
"passed","Mon Nov 27 15:23:45 GMT 2023","Mon Nov 27 15:23:52 GMT 2023","6894","","Customer Transactions Tests","","bankproject.feature.customer.CustomerTransactionsTest","customerDepositsMoneyWithValidAmount","Customer deposits money with valid amount",""
"passed","Mon Nov 27 15:23:38 GMT 2023","Mon Nov 27 15:23:41 GMT 2023","2883","","Viewing List Customer Tests","","bankproject.feature.manager.ViewingListCustomerTest","managerCreateNewCustomer","Manager create new customer",""
"passed","Mon Nov 27 15:23:24 GMT 2023","Mon Nov 27 15:23:34 GMT 2023","10213","","Adding Customer Tests","","bankproject.feature.manager.AddingCustomerTest","managerIsUnableToAddCustomerWithTheEmptyFirstName","Manager is unable to add customer with the empty first name",""
"passed","Mon Nov 27 15:23:35 GMT 2023","Mon Nov 27 15:23:38 GMT 2023","2846","","Opening Account Tests","","bankproject.feature.manager.OpeningAccountTest","managerOpenAccountForTheCustomer","Manager open account for the customer",""
"passed","Mon Nov 27 15:23:54 GMT 2023","Mon Nov 27 15:23:56 GMT 2023","1820","","Viewing Customer Account Tests","","bankproject.feature.customer.ViewingCustomerAccountTest","customerViewsTheOtherAccountInformationDetails","Customer views the other account information details",""
"passed","Mon Nov 27 15:23:38 GMT 2023","Mon Nov 27 15:23:40 GMT 2023","1547","","Viewing List Customer Tests","","bankproject.feature.manager.ViewingListCustomerTest","managerViewListCustomerTable","Manager view list customer table",""
"passed","Mon Nov 27 15:23:45 GMT 2023","Mon Nov 27 15:23:54 GMT 2023","8918","","Customer Transactions Tests","","bankproject.feature.customer.CustomerTransactionsTest","customerWithdrawsMoneyWithValidAmount","Customer withdraws money with valid amount",""
"passed","Mon Nov 27 15:23:43 GMT 2023","Mon Nov 27 15:23:44 GMT 2023","1341","","Customer Login Tests","","bankproject.feature.customer.CustomerLoginTest","theLoginButtonIsShownWhenSelectYourName","The login button is shown when select your name",""
"passed","Mon Nov 27 15:23:45 GMT 2023","Mon Nov 27 15:23:52 GMT 2023","6758","","Customer Transactions Tests","","bankproject.feature.customer.CustomerTransactionsTest","customerResetsTheCustomerTransactions","Customer resets the customer transactions","Customer is able to remove all of the their transactions"
"passed","Mon Nov 27 15:23:41 GMT 2023","Mon Nov 27 15:23:43 GMT 2023","1656","","Customer Logout Tests","","bankproject.feature.customer.CustomerLogoutTest","customerLogOutSuccessfullyFromAccountPage","Customer log out successfully from account page",""
"passed","Mon Nov 27 15:23:35 GMT 2023","Mon Nov 27 15:23:37 GMT 2023","1513","","Opening Account Tests","","bankproject.feature.manager.OpeningAccountTest","managerIsUnableToOpenAccountWithoutCurrency","Manager is unable to open account without currency","Opening account validation of currency field"
"passed","Mon Nov 27 15:23:43 GMT 2023","Mon Nov 27 15:23:44 GMT 2023","1385","","Customer Login Tests","","bankproject.feature.customer.CustomerLoginTest","loginButtonIsHiddenWhenDeselectYourName","Login button is hidden when deselect your name",""
"passed","Mon Nov 27 15:23:43 GMT 2023","Mon Nov 27 15:23:45 GMT 2023","1888","","Customer Login Tests","","bankproject.feature.customer.CustomerLoginTest","loginSuccessfullyWithValidCredential","Login successfully with valid credential",""
"passed","Mon Nov 27 15:23:24 GMT 2023","Mon Nov 27 15:23:35 GMT 2023","11375","","Adding Customer Tests","","bankproject.feature.manager.AddingCustomerTest","managerAddsCustomerWithValidCustomerInformation","Manager adds customer with valid customer information",""
"passed","Mon Nov 27 15:23:41 GMT 2023","Mon Nov 27 15:23:43 GMT 2023","1840","","Customer Logout Tests","","bankproject.feature.customer.CustomerLogoutTest","customerLogOutSuccessfullyFromTransactionPage","Customer log out successfully from transaction page",""
"passed","Mon Nov 27 15:23:35 GMT 2023","Mon Nov 27 15:23:37 GMT 2023","1489","","Opening Account Tests","","bankproject.feature.manager.OpeningAccountTest","managerOpenAccountWithEmptyCustomerName","Manager is unable to open account with empty customer name","Opening account validation of customer name field"
"passed","Mon Nov 27 15:23:45 GMT 2023","Mon Nov 27 15:23:53 GMT 2023","8315","","Customer Transactions Tests","","bankproject.feature.customer.CustomerTransactionsTest","customerIsUnableToWithdrawTheMoneyThatExceedTheBalance","Customer is unable to withdraw the money that exceed the balance",""
"passed","Mon Nov 27 15:23:43 GMT 2023","Mon Nov 27 15:23:44 GMT 2023","1211","","Customer Login Tests","","bankproject.feature.customer.CustomerLoginTest","loginButtonIsHiddenInDefault","Login button is hidden in default","Customer login page hide the login button in default"
"passed","Mon Nov 27 15:23:24 GMT 2023","Mon Nov 27 15:23:34 GMT 2023","10564","","Adding Customer Tests","","bankproject.feature.manager.AddingCustomerTest","managerIsUnableToAddCustomerWithTheEmptyPostCode","Manager is unable to add customer with the empty post code",""
"passed","Mon Nov 27 15:23:54 GMT 2023","Mon Nov 27 15:23:55 GMT 2023","1718","","Viewing Customer Account Tests","","bankproject.feature.customer.ViewingCustomerAccountTest","customerViewsAccountInformationDetails","Customer view account information details",""
